method,dataset,n_clusters,top_k,test_accuracy,confidence,negative_f1,positive_f1,elapsed
MainApproch_PCA,sst2,32,4,0.5126146788990825,0.14405148606826337,0.04063205417607223,0.6733282090699462,0.00792551040649414
MainApproch_PCA,sst2,32,8,0.5091743119266054,0.14405148606826337,0.0,0.6747720364741641,0.00813436508178711
MainApproch_PCA,sst2,32,16,0.5091743119266054,0.14405148606826337,0.0,0.6747720364741641,0.008059024810791016
MainApproch_PCA,sst2,64,1,0.5103211009174312,0.14790022621736948,0.10482180293501048,0.6629834254143646,0.008189916610717773
MainApproch_PCA,sst2,64,2,0.5080275229357798,0.14790022621736948,0.03595505617977528,0.6697459584295612,0.008267402648925781
MainApproch_PCA,sst2,64,4,0.5126146788990825,0.14790022621736948,0.036281179138321996,0.6738296239447429,0.008457660675048828
MainApproch_PCA,sst2,64,8,0.5160550458715596,0.14790022621736948,0.11344537815126049,0.667192429022082,0.008404254913330078
MainApproch_PCA,sst2,64,16,0.5137614678899083,0.14790022621736948,0.027522935779816515,0.6758409785932722,0.008360147476196289
MainApproch_PCA,sst2,64,32,0.5091743119266054,0.14790022621736948,0.0,0.6747720364741641,0.008706331253051758
MainApproch_PCA,sst2,128,1,0.5114678899082569,0.14654700182996083,0.04910714285714286,0.6712962962962963,0.008183002471923828
MainApproch_PCA,sst2,128,2,0.5114678899082569,0.14654700182996083,0.031818181818181815,0.6733128834355828,0.008777379989624023
MainApproch_PCA,sst2,128,4,0.5149082568807339,0.14654700182996083,0.06208425720620842,0.6728538283062645,0.00886678695678711
MainApproch_PCA,sst2,128,8,0.518348623853211,0.14654700182996083,0.10256410256410257,0.670846394984326,0.009134292602539062
MainApproch_PCA,sst2,128,16,0.5103211009174312,0.14654700182996083,0.11594202898550723,0.6613798572561458,0.008994102478027344
MainApproch_PCA,sst2,128,32,0.5149082568807339,0.14654700182996083,0.032036613272311214,0.6763580719204285,0.009287595748901367
MainApproch_PCA,sst2,128,64,0.5091743119266054,0.14654700182996083,0.0,0.6747720364741641,0.009363412857055664
MainApproch_PCA,sst2,256,1,0.5160550458715596,0.1503590422396798,0.14919354838709675,0.6618589743589743,0.009276866912841797
MainApproch_PCA,sst2,256,2,0.5149082568807339,0.1503590422396798,0.06622516556291391,0.6723470178156467,0.010354042053222656
MainApproch_PCA,sst2,256,4,0.5103211009174312,0.1503590422396798,0.05321507760532151,0.6697602474864656,0.010583639144897461
MainApproch_PCA,sst2,256,8,0.5206422018348624,0.1503590422396798,0.14693877551020407,0.6666666666666666,0.01125192642211914
MainApproch_PCA,sst2,256,16,0.5160550458715596,0.1503590422396798,0.13524590163934425,0.6640127388535031,0.010541439056396484
MainApproch_PCA,sst2,256,32,0.5229357798165137,0.1503590422396798,0.19691119691119693,0.6606851549755302,0.010661125183105469
MainApproch_PCA,sst2,256,64,0.5240825688073395,0.1503590422396798,0.23853211009174313,0.6538782318598833,0.011137247085571289
MainApproch_PCA,sst2,256,128,0.5091743119266054,0.1503590422396798,0.0,0.6747720364741641,0.011118650436401367
MainApproch_PCA,sst2,512,1,0.5263761467889908,0.15758657957405925,0.2072936660268714,0.6623058053965659,0.009368419647216797
MainApproch_PCA,sst2,512,2,0.5091743119266054,0.15758657957405925,0.0,0.6747720364741641,0.012995004653930664
MainApproch_PCA,sst2,512,4,0.5103211009174312,0.15758657957405925,0.0447427293064877,0.6707787201233616,0.012984991073608398
